Car ID,Brand,Model,Price,Kilométrage,Année,Carrosserie,Boite vitesse,Cylindrée,Nombre de portes,Puissance fiscale,Transmission,Énergie
107641,mercedes-benz,GL,375000.0,74000.0,2021.0,SUV/4x4,Automatique,3500.0,40.0,8.0,Propulsion,Hybride
106928,mercedes-benz,GL,115000.0,67000.0,2016.0,SUV/4x4,Automatique,2000.0,40.0,8.0,Intégrale,Essence
106743,mercedes-benz,CL,59000.0,161000.0,2009.0,Berline,Automatique,2500.0,40.0,12.0,Propulsion,Diesel
106728,mercedes-benz,ML,79000.0,250000.0,2010.0,SUV/4x4,Automatique,3200.0,50.0,15.0,Intégrale,Diesel
108359,mercedes-benz,CL,165000.0,54000.0,2018.0,Berline,Automatique,1497.0,50.0,11.0,Intégrale,Hybride
108226,mercedes-benz,CL,135000.0,66000.0,2021.0,Berline,Automatique,1332.0,50.0,8.0,Traction,Hybride
109446,mercedes-benz,CL,57000.0,280000.0,2009.0,Berline,Automatique,3000.0,50.0,10.0,Intégrale,Diesel
107892,mercedes-benz,CL,225000.0,32178.0,2022.0,Berline,Automatique,1496.0,40.0,11.0,Intégrale,Essence
106788,mercedes-benz,CL,175000.0,72290.0,2016.0,Coupé,Automatique,1991.0,40.0,26.0,Traction,Essence
101792,mercedes-benz,GL,365000.0,26997.0,2023.0,SUV/4x4,Automatique,1999.0,40.0,12.0,Intégrale,Hybride
108665,mercedes-benz,GL,380000.0,1000.0,2024.0,SUV/4x4,Automatique,1989.0,40.0,11.0,Propulsion,Essence
109322,mercedes-benz,CL,64000.0,150000.0,2009.0,Berline,Automatique,2996.0,50.0,15.0,Traction,Essence
109189,mercedes-benz,GL,260000.0,41765.0,2021.0,SUV/4x4,Automatique,2000.0,40.0,12.0,Traction,Hybride
108962,mercedes-benz,CL,240000.0,100756.0,2021.0,Berline,Automatique,2000.0,40.0,11.0,Traction,Hybride
108928,mercedes-benz,GL,260000.0,47000.0,2021.0,SUV/4x4,Automatique,2000.0,40.0,12.0,Traction,Hybride
108827,mercedes-benz,CL,97000.0,125043.0,2018.0,Berline,Automatique,1600.0,40.0,7.0,Traction,Essence
108175,mercedes-benz,CL,165000.0,55001.0,2019.0,Berline,Automatique,1600.0,40.0,9.0,Traction,Essence
108174,mercedes-benz,CL,275000.0,0.0,2024.0,Berline,Automatique,1400.0,40.0,9.0,Traction,Essence
107925,mercedes-benz,GL,230000.0,10730.0,2023.0,SUV/4x4,Automatique,1400.0,40.0,8.0,Traction,Hybride
107923,mercedes-benz,CL,390000.0,10776.0,2023.0,Berline,Automatique,2000.0,40.0,11.0,Traction,Essence
107921,mercedes-benz,CL,185000.0,50893.0,2022.0,Berline,Automatique,1500.0,40.0,9.0,Traction,Essence
107654,mercedes-benz,CL,169900.0,31235.0,2021.0,Coupé,Automatique,1300.0,40.0,8.0,Traction,Hybride
105120,mercedes-benz,GL,230000.0,82415.0,2020.0,Coupé,Automatique,2000.0,40.0,10.0,Traction,Hybride
104495,mercedes-benz,CL,65000.0,249000.0,2011.0,Berline,Automatique,1800.0,40.0,9.0,Traction,Essence
104184,mercedes-benz,CL,178000.0,30570.0,2021.0,Berline,Automatique,1500.0,40.0,8.0,Traction,Essence
104176,mercedes-benz,CL,225000.0,1000.0,2024.0,Berline,Automatique,1400.0,40.0,8.0,Traction,Hybride
101781,mercedes-benz,CL,185000.0,18500.0,2023.0,Berline,Automatique,1400.0,40.0,8.0,Traction,Hybride
101219,mercedes-benz,CL,135000.0,68000.0,2018.0,Berline,Automatique,1400.0,40.0,8.0,Traction,Essence
100510,mercedes-benz,CL,145000.0,145000.0,2019.0,Berline,Automatique,1600.0,40.0,6.0,Traction,Diesel
100493,mercedes-benz,CL,119000.0,141000.0,2019.0,Berline,Automatique,1300.0,40.0,7.0,Traction,Diesel
107838,mercedes-benz,GL,220000.0,39000.0,2018.0,SUV/4x4,Automatique,1950.0,50.0,9.0,Traction,Diesel
106621,mercedes-benz,CL,90000.0,176000.0,2016.0,Berline,Automatique,1595.0,50.0,8.0,Traction,Essence
106005,mercedes-benz,GL,245000.0,70000.0,2020.0,SUV/4x4,Automatique,1991.0,50.0,12.0,Traction,Hybride
105794,mercedes-benz,CL,137000.0,37000.0,2021.0,Compacte,Automatique,1332.0,50.0,8.0,Traction,Hybride
105009,mercedes-benz,GL,182000.0,91000.0,2021.0,SUV/4x4,Automatique,1332.0,50.0,9.0,Traction,Essence
104423,mercedes-benz,CL,215000.0,35000.0,2022.0,Berline,Automatique,1496.0,50.0,9.0,Traction,Essence
103250,mercedes-benz,GL,175000.0,50000.0,2022.0,SUV/4x4,Automatique,1332.0,40.0,9.0,Traction,Essence
101146,mercedes-benz,GL,360000.0,6600.0,2023.0,SUV/4x4,Automatique,2000.0,40.0,12.0,Intégrale,Essence
104375,mercedes-benz,CL,174000.0,69000.0,2021.0,Autres,Automatique,1300.0,40.0,8.0,Traction,Hybride
107549,mercedes-benz,GL,400000.0,0.0,2024.0,SUV/4x4,Automatique,2000.0,40.0,12.0,Intégrale,Essence
108063,mercedes-benz,CL,450000.0,40000.0,2020.0,Autres,Automatique,3000.0,40.0,32.0,Intégrale,Hybride
103319,mercedes-benz,CL,245000.0,9000.0,2022.0,Berline,Automatique,1600.0,40.0,9.0,Traction,Essence
104380,mercedes-benz,CL,350000.0,168000.0,2010.0,SUV/4x4,Automatique,3000.0,50.0,16.0,Intégrale,Diesel
104471,mercedes-benz,CL,148000.0,93000.0,2020.0,Autres,Automatique,1500.0,40.0,6.0,Traction,Diesel
103002,mercedes-benz,CL,340000.0,86000.0,2018.0,Berline,Automatique,3000.0,50.0,33.0,Traction,Hybride
100070,mercedes-benz,ML,88000.0,231000.0,2010.0,SUV/4x4,Automatique,3000.0,40.0,12.0,Intégrale,Diesel
106238,mercedes-benz,CL,630000.0,30000.0,2015.0,SUV/4x4,Automatique,5500.0,40.0,47.0,Intégrale,Essence
103212,mercedes-benz,CL,195000.0,79000.0,2015.0,Berline,Automatique,2200.0,50.0,11.0,Traction,Hybride
109043,mercedes-benz,CL,155000.0,95000.0,2018.0,Berline,Automatique,1598.0,40.0,9.0,Traction,Essence
107932,mercedes-benz,GL,189000.0,20000.0,2023.0,SUV/4x4,Automatique,1498.0,40.0,7.0,Traction,Essence
86048,mercedes-benz,CL,161290.0,135000.0,2019.0,Berline,Automatique,1598.0,50.0,8.0,Traction,Essence
107829,mercedes-benz,CL,178000.0,86000.0,2019.0,Coupé,Automatique,1498.0,20.0,10.0,Traction,Hybride
103089,mercedes-benz,CL,122000.0,165000.0,2010.0,Berline,Automatique,3498.0,40.0,18.0,Traction,Essence
94013,mercedes-benz,CL,98000.0,147000.0,2009.0,Berline,Automatique,,,19.0,Traction,Essence
108889,mercedes-benz,CL,159000.0,27000.0,2022.0,Berline,Automatique,1599.0,50.0,8.0,Traction,Essence
108668,mercedes-benz,CL,205000.0,68000.0,2020.0,Pick up,Automatique,2000.0,50.0,8.0,Traction,Diesel
108350,mercedes-benz,CL,255100.0,20000.0,2023.0,Berline,Automatique,1599.0,50.0,9.0,Traction,Essence
108347,mercedes-benz,CL,129000.0,150000.0,2020.0,Citadine,Manuelle,1799.0,50.0,9.0,Traction,Essence
107626,mercedes-benz,GL,225000.0,26000.0,2023.0,SUV/4x4,Automatique,1999.0,50.0,8.0,Traction,Hybride
107556,mercedes-benz,CL,152000.0,120000.0,2019.0,Berline,Automatique,1599.0,50.0,10.0,Traction,Hybride
107534,mercedes-benz,GL,173000.0,90000.0,2021.0,SUV/4x4,Automatique,1999.0,50.0,9.0,Traction,Essence
107421,mercedes-benz,CL,83000.0,124000.0,2014.0,Berline,Automatique,1599.0,50.0,9.0,Traction,Essence
107358,mercedes-benz,CL,63000.0,200000.0,2012.0,Coupé,Automatique,1599.0,30.0,9.0,Traction,Essence
106990,mercedes-benz,CL,152000.0,120000.0,2019.0,Berline,Automatique,1497.0,50.0,10.0,Traction,Hybride
106370,mercedes-benz,CL,167000.0,130000.0,2018.0,Coupé,Automatique,1599.0,30.0,8.0,Traction,Essence
105149,mercedes-benz,CL,630000.0,3000.0,2022.0,Berline,Automatique,2999.0,50.0,16.0,Traction,Hybride
104969,mercedes-benz,CL,235000.0,50000.0,2023.0,Berline,Automatique,1800.0,50.0,9.0,Traction,Essence
104729,mercedes-benz,GL,169000.0,115000.0,2017.0,SUV/4x4,Automatique,2499.0,50.0,12.0,Traction,Essence
104653,mercedes-benz,GL,235000.0,12000.0,2023.0,SUV/4x4,Automatique,2000.0,50.0,11.0,Traction,Essence
104590,mercedes-benz,GL,210000.0,111000.0,2021.0,SUV/4x4,Automatique,2000.0,50.0,9.0,Traction,Diesel
