Title,Price,Fuel,Mileage,Year
Volkswagen Golf 7 BVA,69 000,Essence,200 000,2020
BMW Série 1 Pack Sport M,75 000,Essence,165 000,2016
Hyundai Tucson Top Grade,147 000,Essence,40 000,2022
Lada 4x4 Urban,41 000,Essence,58 000,2020
Mercedes-Benz Classe X,205 000,Diesel,68 000,2020
Seat Arona Xperience,81 000,Essence,47 000,2022
Toyota Corolla Dynamic,69 000,Essence,85 000,2020
Fiat 500X Pop Star,65 000,Essence,60 000,2018
Land Rover Discovery,115 000,Essence,170 000,2015
Haval Jolion,88 000,Essence,40 000,2021
Toyota C-HR,73 000,Essence,130 000,2018
Nissan Juke Tekna,92 500,Essence,6 000,2024
Mercedes-Benz Classe C AMG,Sous leasing                    255 100,Essence,20 000,2023
Mercedes-Benz CLA Kit Amg 200,129 000,Essence,150 000,2020
Seat Ibiza Xcellence,62 000,Essence,68 000,2021
KIA Rio 5p SX,57 500,Essence,70 000,2020
MG ZS Luxury,72 000,Essence,20 000,2022
Chery Tiggo 7 Pro,101 000,Essence,0,2024
Audi Q3 BVA,165 000,Essence,3 000,2023
Peugeot 408 GT,155 000,Essence,10 000,2024
Jaguar XF Luxury,87 000,Essence,120 000,2014
BMW Série 6 Face Lift,85 000,Essence,190 000,2009
Land Rover Range Rover Sport HSE Dynamic,189 000,Diesel,300 000,2016
KIA Rio 5p GT-Line,62 000,Essence,70 000,2021
KIA Sportage GT-Line,188 000,Hybride,15 000,2024
Mercedes-Benz GLA 250e Pack AMG,225 000,Hybride,26 000,2023
Mahindra Pick-up SC,39 000,Diesel,120 000,2021
Peugeot 3008,69 000,Essence,112 000,2020
KIA Rio 5p GT-Line,73 000,Essence,9 000,2023
Mercedes-Benz Classe C Pack AMG Pack night,152 000,Hybride,120 000,2019
Peugeot 3008 GT GT-line,89 000,Essence,125 000,2020
MG HS Luxury,77 900,Essence,87 000,2020
Mercedes-Benz GLA AMG,173 000,Essence,90 000,2021
BMW Série 4 Coupé 420i,87 000,Essence,180 000,2015
Chery Tiggo 7 Pro,88 000,Essence,40 000,2022
Suzuki Jimny,98 000,Essence,20 000,2023
Mercedes-Benz CLA Kit AMG,83 000,Essence,124 000,2014
Citroën C3 Shine,37 500,Essence,88 000,2018
Mercedes-Benz Classe C coupé AMG,63 000,Essence,200 000,2012
Renault Clio 4,45 000,Essence,120 000,2021
Mini 3 portes One,29 000,Essence,200 000,2009
Hyundai Tucson High Grade,129 000,Essence,19 000,2023
Nissan Juke Tekna,87 000,Essence,53 000,2021
Jeep Renegade,88 000,Essence,88 000,2021
Mercedes-Benz Classe C AMG,152 000,Hybride,120 000,2019
Ford Mondeo Hybride,109 000,Hybride,34 000,2020
Land Rover Range Rover Evoque,120 000,Diesel,145 000,2018
Volkswagen Passat,59 000,Essence,160 000,2016
Haval H6,117 000,Essence,16 000,2022
Haval H6 Luxury,85 000,Essence,55 000,2021
Volkswagen Golf 8 1.4,105 000,Essence,40 000,2022
