Boite vitesse,Brand,Car ID,Carrosserie,Couleur extérieure,Couleur intérieure,Cylindrée,Date de l'annonce,Gouvernorat,Génération,Kilométrage,Marque,Mise en circulation,Model,Modèle,Moteur,Nombre de places,Nombre de portes,Price,Puissance,Puissance cumulée,Puissance fiscale,Puissance thermique,Sellerie,Transmission,Énergie
Automatique,bmw,106474,SUV/4x4,Noir,Beige,3500cm³,05.12.2024,Ariana,(E71)05/2008 - 06/2014,140 000km,BMW,6.2009,x6,X6,,4.0,5.0,68 000DT,,,19cv,,Cuir intégral,Intégrale,Essence
Automatique,bmw,105290,Berline,Blanc,Noir,1600cm³,05.12.2024,Ariana,(F30) LCI Berline09/2015 - 03/2019,117 000km,BMW,1.2017,serie-3,Série 3,,5.0,4.0,79 000DT,,,7cv,,Cuir intégral,Traction,Essence
Automatique,bmw,104722,SUV/4x4,Blanc,Noir,1500cm³,05.12.2024,Ariana,(F48)09/2015 - 06/2019,105 000km,BMW,7.2018,x1,X1,,5.0,5.0,79 000DT,,,7cv,,Cuir intégral,Traction,Essence
Automatique,bmw,108980,SUV/4x4,Blanc,Marron,2993cm³,05.12.2024,Ariana,(E70)12/2006 - 03/2010,154 000km,BMW,8.2008,x5,X5,3.0 si 24V xDrive,7.0,4.0,62 000DT,272ch dyn,,19cv,,Cuir intégral,Intégrale,Essence
Automatique,bmw,101989,Coupé,Blanc,Noir,2000cm³,05.12.2024,Ben Arous,(F32) LCI Coupé03/2017 - 08/2020,85 000km,BMW,3.2019,serie-4-coupe,Série 4 Coupé,420i 2.0 i 16V,4.0,2.0,150 000DT,184ch dyn,,11cv,,Alcantara,Propulsion,Essence
Automatique,bmw,108942,Berline,Noir,Beige,1995cm³,03.12.2024,Sfax,(F10) Berline05/2010 - 12/2013,170 000km,BMW,10.201,serie-5,Série 5,520d 2.0 d DPF 16V,5.0,4.0,73 000DT,184ch dyn,,10cv,,Cuir intégral,Intégrale,Diesel
Automatique,bmw,105814,Berline,Noir,Beige,1499cm³,03.12.2024,Tunis,(F36) LCI Gran Coupé03/2017 - 07/2021,121 000km,BMW,5.2019,serie-4-gran-coupe,Série 4 Gran Coupé,418i 1.5 i 12V Steptronic8,5.0,5.0,100 000DT,136ch dyn,,7cv,,Cuir intégral,Traction,Essence
Automatique,bmw,108920,Citadine,Blanc,Noir,1499cm³,03.12.2024,Tunis,(F40) 5 portes09/2019 - Aujourd'hui,110km,BMW,12.202,serie-1-5p,Série 1,118i 1.5 i 12V DCT7,5.0,5.0,115 000DT,136ch dyn,,8cv,,Tissu,Traction,Essence
Manuelle,bmw,108839,Coupé,Bleu,Beige,900cm³,30.11.2024,Ariana,(F20) 5 portes07/2011 - 02/2015,172 000km,BMW,9.2013,serie-1-5p,Série 1,116i 1.6 i 16V,5.0,2.0,51 000DT,136ch dyn,,6cv,,Cuir intégral,Traction,Essence
Automatique,bmw,107676,SUV/4x4,Blanc,Marron,1499cm³,26.11.2024,Tunis,U1001/2024 - Aujourd'hui,600km,BMW,9.2024,x2,X2,18i sDrive,5.0,4.0,183 000DT,156ch dyn,,8cv,,Similicuir,Traction,Essence
