Car ID,Brand,Model,Price,Kilométrage,Mise en circulation,Carrosserie,Boite vitesse,Cylindrée,Nombre de portes,Puissance fiscale,Transmission,Énergie
108683,hyundai,i20,64 000DT,54 000km,6.2022,Compacte,Manuelle,1198cm³,5.0,5cv,Traction,Essence
108950,hyundai,i20,53 500DT,76 000km,6.2022,Compacte,Manuelle,1198cm³,5.0,5cv,Traction,Essence
108508,hyundai,grand-i10,48 500DT,47 000km,4.2023,Compacte,Manuelle,1198cm³,5.0,5cv,Traction,Essence
108298,hyundai,tucson,100 000DT,81 000km,3.2018,SUV/4x4,Automatique,2000cm³,5.0,10cv,Traction,Diesel
107956,hyundai,tucson-hybride,178 000DT,16 000km,2.2023,SUV/4x4,Automatique,1600cm³,5.0,7cv,Traction,Diesel
108442,hyundai,grand-i10,51 000DT,69 000km,9.2021,Monospace,Automatique,1200cm³,5.0,5cv,Traction,Essence
109389,hyundai,i20,64 000DT,55 500km,3.2022,Citadine,Manuelle,1197cm³,5.0,5cv,Traction,Essence
109316,hyundai,kona,89 000DT,22 000km,6.202,SUV/4x4,Automatique,1600cm³,5.0,5cv,Intégrale,Hybride essence
109378,hyundai,i20,45 000DT,163 000km,9.2019,Citadine,Manuelle,1200cm³,5.0,5cv,Traction,Essence
103544,hyundai,kona,100 000DT,20 000km,5.2023,SUV/4x4,Automatique,1600cm³,5.0,11cv,Intégrale,Essence
108272,hyundai,tucson,145 000DT,37 000km,7.2022,SUV/4x4,Automatique,1600cm³,5.0,10cv,Intégrale,Essence
109331,hyundai,i20,41 500DT,123 500km,10.2017,Citadine,Manuelle,1197cm³,4.0,5cv,Traction,Essence
109321,hyundai,creta,82 500DT,52 000km,10.202,SUV/4x4,Automatique,1500cm³,5.0,7cv,Traction,Essence
108048,hyundai,tucson,98 000DT,80 000km,1.202,SUV/4x4,Automatique,1600cm³,5.0,7cv,Traction,Diesel
109018,hyundai,grand-i10,37 000DT,134 000km,10.2017,Berline,Manuelle,1200cm³,5.0,5cv,Traction,Essence
109194,hyundai,i20,64 500DT,26 100km,4.2022,Citadine,Manuelle,1200cm³,5.0,5cv,Traction,Essence
109161,hyundai,grand-i10,32 000DT,208 000km,3.2015,Citadine,Manuelle,1248cm³,5.0,5cv,Traction,Essence
108945,hyundai,elantra,63 500DT,65 000km,3.2017,Berline,Manuelle,1593cm³,4.0,7cv,Traction,Essence
107714,hyundai,i30-fastback,85 000DT,19 000km,5.2022,Berline,Automatique,1000cm³,5.0,8cv,Traction,Essence
109127,hyundai,grand-i10,46 000DT,85 000km,12.2022,Citadine,Manuelle,900cm³,4.0,4cv,Traction,Essence
108110,hyundai,grand-i10,40 500DT,80 000km,4.2022,Citadine,Manuelle,998cm³,4.0,4cv,Traction,Essence
101672,hyundai,veloster,49 000DT,100 000km,2.2013,Compacte,Automatique,1000cm³,5.0,11cv,Traction,Essence
105905,hyundai,grand-i10-sedan,45 000DT,15 000km,6.2019,Berline,Manuelle,1198cm³,5.0,5cv,Traction,Essence
108720,hyundai,i20,65 000DT,56 000km,2.2022,Citadine,Manuelle,1200cm³,5.0,5cv,Traction,Essence
109008,hyundai,tucson,90 000DT,130 000km,10.202,Monospace,Automatique,1600cm³,4.0,8cv,Traction,Essence
103809,hyundai,tucson,162 000DT,24 000km,7.2022,SUV/4x4,Automatique,1600cm³,5.0,10cv,Intégrale,Essence
107883,hyundai,grand-i10-sedan,30 000DT,150 000km,10.2017,Citadine,Manuelle,1198cm³,5.0,5cv,Traction,Essence
108733,hyundai,grand-i10,39 800DT,57 000km,5.2021,Coupé,Manuelle,1000cm³,5.0,4cv,Traction,Essence
108897,hyundai,i20,60 000DT,47 000km,5.2022,Compacte,Manuelle,3000cm³,4.0,5cv,Traction,Essence
108869,hyundai,i20,45 000DT,150 000km,1.2019,Citadine,Manuelle,1197cm³,5.0,5cv,Traction,Essence
108852,hyundai,tucson,84 000DT,215 000km,11.2015,SUV/4x4,Automatique,1999cm³,4.0,11cv,Intégrale,Essence
108429,hyundai,i20,32 000DT,245 000km,12.2015,Compacte,Manuelle,1197cm³,5.0,4cv,Traction,Essence
108307,hyundai,grand-i10,52 000DT,24 000km,8.2021,Coupé,Automatique,1197cm³,4.0,5cv,Traction,Essence
108666,hyundai,tucson,168 000DT,0km,1.2024,SUV/4x4,Automatique,1598cm³,5.0,10cv,Traction,Essence
108661,hyundai,veloster,45 000DT,80 000km,12.2012,Autres,Automatique,1591cm³,3.0,8cv,Traction,Essence
108543,hyundai,creta,80 000DT,90 500km,2.2019,SUV/4x4,Automatique,1591cm³,5.0,7cv,Traction,Essence
108521,hyundai,grand-i10-sedan,37 000DT,194 000km,9.2017,Berline,Manuelle,1197cm³,5.0,5cv,Traction,Essence
107688,hyundai,tucson-hybride,105 000DT,120 000km,10.202,SUV/4x4,Automatique,5555cm³,5.0,7cv,Traction,Hybride diesel
107194,hyundai,grand-i10,40 000DT,116 000km,3.202,Citadine,Automatique,1200cm³,5.0,5cv,Traction,Essence
109441,kia,cerato,42 000DT,189 000km,12.2015,Berline,Manuelle,1598cm³,4.0,7cv,Traction,Essence
109438,kia,rio-5p,49 500DT,112 000km,7.2022,Citadine,Manuelle,1198cm³,5.0,5cv,Traction,Essence
109224,kia,picanto,32 500DT,100 000km,7.2013,Citadine,Automatique,1198cm³,4.0,5cv,Traction,Essence
109221,kia,sorento,58 000DT,273 000km,7.2013,SUV/4x4,Automatique,2198cm³,4.0,12cv,Traction,Diesel
109146,kia,sportage,120 000DT,79 000km,6.202,SUV/4x4,Automatique,1598cm³,4.0,7cv,Traction,Diesel
108747,kia,optima,40 000DT,206 000km,6.2012,Berline,Automatique,1998cm³,4.0,10cv,Traction,Essence
108746,kia,rio,44 500DT,87 000km,12.2017,Berline,Manuelle,1198cm³,4.0,5cv,Traction,Essence
